pays;nom;Capitale;description;bons plans;prix de l'hébergement;coût de la vie;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;latitude;longitude;nb de jours conseillés
Afrique du Sud;Johannesburg;;;"> Comprendre les racines de la situation actuelle du pays en visitant le musée de l'apartheid.
> Le soir, aller écouter un groupe de jazz dans un bar de Newtown
> Eviter Hillbrow, quartier en amélioration mais qui reste assez mal fréquenté, surtout pour les touristes.
> Visiter Soweto (accompagné d'un guide),  ville originellement destinée aux travailleurs noirs,et maintenant devenue la deuxième plus grande ville d'Afrique du Sud.
> Se prendre pour un chercheur d'or à Kromdraai (20 min de Johannesburg).
> Découvrir la faune dans une ""mini"" réserve de 2km², le ""lion park"" (à 1h de Johannesburg)";11;25;2;3;3;2;1;1;1;1;1;3;3;2;-26.1593862;28.0258656;
Afrique du Sud;Le Cap;;;"> Bruncher dans l'ambiance conviviale de Goodneighbour Market, installée dans une ancienne biscuiterie (le samedi matin)
> Sortir la nuit sur Long Street, qui regroupe de nombreux bars, boites et restos
> S'émerveiller devant les plages du bouts du monde à la péninsule du Cap,y rencontrer des manchots.
> De Novembre à Mars, écouter un concert gratuit le dimanche au coeur du jardin botanique Kirstenbosch.
> Louer en vélo pour monter la montagne Table, s'y attarder pour la vue exceptionnelle sur la ville
> Déguster les fameux vins Sud Africains lors d'un road trip autour de Stellenbosch.";11;26;3;3;3;3;1;1;1;1;1;3;3;3;-33.9753806;18.4553078;
Algérie;Alger;oui;"L’histoire d’Alger débute il y a 3 millénaires, c’était alors un important comptoir phénicien. Sous influence Romaine à partir de -200, puis berbère, c’est en 710 qu’est introduit l'Islam dans la ville. Colonisée en 1830 par la France, c’est suite à la Guerre d'Algérie en 1962, que Alger devient la capitale de l’Algérie désormais indépendante.
Surnommée Alger la joyeuse ou encore Alger la blanche en raison des bâtiments d'architecture coloniale et locale d'un blanc étincelant, la ville compte de nombreuses mosquées somptueuses, comme la Grande Mosquée (11ème siècle) ou la mosquée Sidi Abd al-Rahman (18ème).
De nos jours, Alger est une ville jeune et dynamique. La vie y est trépidante et l’activité économique, scientifique, sociale et culturelle y est très riche.";"> Visiter les grottes de Cervantès.
> Découvrir le Jardin d'Essai du Hamma.
> Faire une balade au port de Sidi Fredj.
> Se cultiver au musée national du Bardo.
> Se rendre au parc aquatique Aquafortland pour se rafraîchir l'été.";14;10;2;2;2;2;3;3;3;3;3;3;2;2;36.748550;3.076529;
Allemagne;Berlin;oui;"Depuis sa fondation au 13ème siècle, Berlin a toujours été capitale : de la Prusse, de l'empire allemand, de la République de Weimer, du 3ème Reich, de la RDA et aujourd’hui de l'Allemagne.
Malgré son succès actuel et son rythme trépidant, Berlin échappe difficilement à son passé, dans toute la ville il est possible d’observer des traces de la 2ème guerre mondiale. Un signe que les berlinois ne tirent pas un trait sur les évènements historiques même s’ils sont résolument tournés vers l’avenir.
A présent Berlin est une capitale artistique et culturelle mondiale. Avec plus de 150 musées, 60 théâtres, des festivals de la culture ou de la musique, elle attire par son ouverture d’esprit de nombreux jeunes venus de toute l’Europe. De taille humaine, en équilibre entre l’Histoire et la modernité, avec un style de vie à la fois dynamique et décontracté, la capitale allemande saura vous séduire. 
";"> Rencontrer et échanger avec les locaux en vous dirigeant à l'arrière du Eastern comfort Hostel Boat les mercredi soir (18h) lors des World Language party.
> Profiter des marchés de noël en Décembre
> Découvrir le vestige le plus important du mur de Berlin, la East Side Gallery.
> Visiter Berlin sur la Spree en bateau pour un autre point de vue sur la ville.
> Goûter la streetfood, et notamment les currywürst. Vous verrez rapidement que les allemands raffolent des saucisses.
> Grimper au sommet de la tour de télévision de l'Alexanderplatz pour une vue à 360° de la capitale allemande.
> Se rendre au Café de Moscou, un des endroits les plus animés de la ville.";15;29;0;0;1;2;3;3;3;3;3;2;1;0;52.516304;13.3766257;
Allemagne;Hamburg;;;;23;27;0;0;0;1;1;3;3;3;2;1;1;0;53.5511063;9.9815264;
Allemagne;Munich;;;> En octobre, aller à l'Oktoberfest, la plus célèbre fête de la bière du monde;19;27;0;0;0;1;1;2;2;3;1;1;1;0;48.1370459;11.5476436;
Argentine;San Carlos de Bariloche;;"Lieu de villégiature pour les argentins, San Carlos de Bariloche est véritablement un ""must do"" en Argentine. Son architecture savoyarde et ses premiers habitants d'origines suisse et allemand, expliquent le surnom de ""Suisse Allemande"" que possède la ville.
Construite au bord du lac Nahuel Huapi, San Carlos de Bariloche est située au cœur d'une région riche en cours d'eau poissonneux et en lacs. Réputée l'été pour son climat chaud la journée et frais la nuit, l'hiver venu les argentins et les chiliens viennent skier sur les pentes du Cerro Catedral, dans l'une des plus grandes stations de ski d'Amérique Latine.";"> Parcourir la route des 7 lacs et s'arrêter à chacun d'entre eux.
> Visiter les petites villes de ""Villa La Angostura"", ""San Martin de Los Andes"" ou encore ""Villa Traful"".
> Se régaler de chocolat dans l'une des nombreuses chocolateries de San Carlos de Bariloche.
> Sillonner les 20km du Circuito Chico pour voir l'une des plus belles vues sur le lac (voir photo).
> Monter en haut du Cerro Otto (à pied ou en téléphérique) pour admirer la vue sur la ville et sur le lac.";20;17;3;3;3;2;0;0;0;0;0;2;2;3;-41.130319;-71.272376;
Argentine;Buenos Aires;oui;"Fondée en 1580 par des colons Espagnols, la ville a prospéré grâce au commerce du cuir. A la fin du 18ème siècle, la ville connue une forte croissance grâce à une importante immigration de Français, d'Italiens et d'Espagnols. Au cours du 20ème siècle, les militaires ont à plusieurs reprises pris le pouvoir, avant de laisser définitivement place à la démocratie en 1983.
Aujourd’hui Buenos Aires est toujours majoritairement peuplée de descendants de colons européens. Le quartier de La Boca (voir photo) rappelle les rues de Naples, les hôtels particuliers de la Recoleta ont un style très Parisien et les larges avenues du centre-ville évoquent celles de Madrid.
Commencez par parcourir l’histoire de la ville sur la Plaza de Mayo, puis initiez-vous au tango dans une ""milongas"" du quartier de San Telmo, et enfin assistez à une rencontre de football au stade de La Bombonera, et vous découvrirez le charme de Buenos Aires !";"> Flâner dans la Boca (rue commerçante très animée).
> Partir à la découverte des 40 plaques commémoratives aux grands danseurs de tango sur « Avenue Corrientes ».
> Admirer le Tango dansé par les Argentins.
> Regarder un match de football. 
> Goûter à un morceau de bœuf argentin.";14;17;3;3;3;3;1;1;1;1;1;2;3;3;-34.6084373;-58.373264;
Argentine;Puerto Iguazù (chutes d'Iguazù);;;;10;26;1;1;1;2;3;3;3;3;3;2;2;1;-25.598143;-54.570490;1
Argentine;Córdoba;;"Deuxième plus grande ville du pays, Córdoba est située au centre de l'Argentine, dans la Pampa. Ville universitaire au passé culturel très riche, c'est un peu la rivale de Buenos Aires. Injustement peu fréquentée par les touristes, la ville regorge de maisons coloniales et d'églises catholiques fondées par les Jésuites.
La région de Córdoba ne manque également pas d'attraits. Allez vous balader dans le parc national ""del condorito"" pour tenter d'y apercevoir des Condors au milieu des sierras puis rendez-vous à Alta Gracia pour visiter son estancia jésuite ainsi que la maison d'enfance de Che Guevara. La ville et sa région mériteraient d'être plus connues.";"> Visiter le riche patrimoine Jésuite de la ville : le collège national de Montserrat, l'église de la Compagnie de Jésus, la Manzana Jesuítica et l'ancienne Université.
> Le weekend en fin de journée, aller au marché artisanal et profiter le soir de l'ambiance du quartier.
> Le mercredi, les musées sont gratuits. Tous les jours des ""free walking tour"" sont organisés.
> Se balader au milieu des sierras, dans le parc national ""del condorito"" et tenter d'apercevoir des condors.
> Se rendre dans la petite ville d'Alta Gracia, pour visiter son estancia jésuite et la maison d'enfance de Che Guevara.
> Se dépayser à ""Villa General Belgrano"" et ""La Cumbrecita"", deux petites villes où vivent des communautés allemandes depuis les années 30 : architecture bavaroise et fête de la bière en octobre.";12;15;2;2;2;3;0;1;1;0;0;3;2;2;-31.417145;-64.184354;
